1	0.8369
1	0.8619
1	0.7004
1	0.8390
1	0.9023
1	0.5997
1	0.7628
1	0.7759
1	0.8325
1	0.7409
1	0.8138
1	0.7343
1	0.8423
1	0.8095
1	0.8208
1	0.7095
1	0.8954
1	0.9244
1	0.6875
1	0.6494
1	0.8317
1	0.7817
1	0.8586
0	0.6841
0	0.7239
0	0.7620
0	0.5131
0	0.6957
0	0.6341
0	0.7165
0	0.5361
0	0.5988
0	0.4215
0	0.7959
0	0.4689
0	0.7088
0	0.7073
0	0.5095
0	0.6966
0	0.6870
0	0.6948
0	0.7051
0	0.7346
0	0.6550
0	0.5077
0	0.8063
0	0.8222
0	0.6513
0	0.5579
0	0.6450
0	0.6009
0	0.6159
0	0.6952
0	0.6130
0	0.4072
1	0.7909
1	0.8784
0	0.5614
0	0.6040
